"TOA5","REnPM01","CR1000","76101","CR1000.Std.32.02","CPU:Prototipo_Braselco_PM_01_V8.CR1","45455","PM01_"
"TIMESTAMP","RECORD","B_15_Avg","B_15_Std","B_15_Max","B_15_Min","T_15_Avg","T_15_Std","T_15_Max","T_15_Min","U_15_Avg","U_15_Std","U_15_Max","U_15_Min","AN_120_1_Avg","AN_120_1_Max","AN_120_1_Min","AN_120_1_Std","WV_100_Avg","WV_100_Std","WV_100_Max","WV_100_Min","AN_120_2_Avg","AN_120_2_Max","AN_120_2_Min","AN_120_2_Std","AN_100_Avg","AN_100_Max","AN_100_Min","AN_100_Std","WV_80_Avg","WV_80_Std","WV_80_Max","WV_80_Min","AN_80_Avg","AN_80_Max","AN_80_Min","AN_80_Std","AN_60_1_Avg","AN_60_1_Max","AN_60_1_Min","AN_60_1_Std","AN_60_2_Avg","AN_60_2_Max","AN_60_2_Min","AN_60_2_Std","Bat12V_Avg","Bat12V_Max","Bat12V_Min"
"TS","RN","mbar","mbar","mbar","mbar","oC","oC","oC","oC","%RH","%RH","%RH","%RH","m/s","m/s","m/s","m/s","Deg","Deg","Deg","Deg","m/s","m/s","m/s","m/s","m/s","m/s","m/s","m/s","Deg","Deg","Deg","Deg","m/s","m/s","m/s","m/s","","","","","","","","","Volts","Volts","Volts"
"","","Avg","Std","Max","Min","Avg","Std","Max","Min","Avg","Std","Max","Min","Avg","Max","Min","Std","WVc","WVc","Max","Min","Avg","Max","Min","Std","Avg","Max","Min","Std","WVc","WVc","Max","Min","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min"
"2018-10-01 00:10:00",28502,956,0.227,957,956,19.06,0.122,19.2,18.79,83.7,0.557,85,83,14.27,15.12,13,0.324,145.2,2.231,151.5,140,13.98,14.74,12.93,0.349,13.42,14.51,11.89,0.539,331.9,2.756,341.3,323.7,11.71,13.95,9.42,0.884,10.69,12.81,8.22,0.843,10.35,12.41,7.878,0.854,12.85,12.86,12.81
"2018-10-01 00:20:00",28503,956,0.252,957,956,18.39,0.223,18.79,18.11,87.3,1.342,89.3,84.9,13.39,14.71,11.24,0.572,151.4,2.38,163.5,143.9,13.38,14.27,12.38,0.355,12.18,13.68,10.78,0.452,339.6,3.785,353.5,329.2,10.23,12.44,7.914,0.709,8.8,11.3,5.183,1.262,8.96,10.9,6.369,0.8,12.85,12.86,12.8
"2018-10-01 00:30:00",28504,956,0.263,957,956,18,0.074,18.11,17.9,90.2,0.56,91.2,89.1,12.48,14.06,10.83,0.491,155.3,2.172,166.3,148.1,13.74,14.35,12.3,0.293,13.07,14.19,10.78,0.611,343.9,2.176,353.7,337,11.52,12.44,9.42,0.806,8.42,11.57,6.195,1.048,10.34,12.41,7.878,0.957,12.84,12.86,12.81
"2018-10-01 00:40:00",28505,956,0.241,956,956,18.17,0.029,18.24,18.11,89.8,0.217,90.4,89.5,12.93,14.34,11.43,0.672,153.4,1.355,160.2,150.3,13.79,14.19,13.09,0.191,13.52,14.14,12.53,0.247,341.7,1.797,349.3,339,12.46,13.2,10.93,0.397,10.13,12.86,7.114,1.505,11.36,12.41,10.14,0.48,12.84,12.86,12.81
"2018-10-01 00:50:00",28506,956,0.313,956,955,18.25,0.067,18.38,18.17,89.4,0.264,89.7,88.6,12.87,13.97,11.48,0.627,156.6,1.536,161.4,153.7,13.21,13.8,12.54,0.329,13.1,13.54,12.58,0.164,345.4,1.363,350.1,342,12.08,12.44,10.93,0.382,7.791,9.6,7.022,0.351,10.94,11.65,10.14,0.395,12.84,12.85,12.81
"2018-10-01 01:00:00",28507,955,0.319,956,955,18.25,0.098,18.38,18.04,89,0.353,89.7,88.4,11.19,12.81,9.17,0.854,166,3.45,171.9,160.4,12.66,13.01,12.3,0.159,12.81,13.59,10.92,0.364,354.7,13.28,358.7,0.662,11.75,12.44,10.18,0.391,10.3,12.08,7.436,0.95,10.71,11.65,9.39,0.447,12.84,12.84,12.81
"2018-10-01 01:10:00",28508,955,0.288,956,954,18,0.041,18.1,17.9,90.3,0.29,90.8,89.6,9.63,11.52,8.57,0.465,172.3,1.642,176,165.4,13.06,13.48,12.69,0.16,11.51,13.54,10.37,0.817,357.5,13.85,358.7,0.662,12.3,13.2,10.93,0.42,11.58,13,9.87,0.456,11.34,12.41,10.14,0.544,12.84,12.85,12.8
"2018-10-01 01:20:00",28509,955,0.247,956,954,17.83,0.059,17.97,17.63,91,0.246,91.7,90.4,10.72,11.98,9.12,0.414,179.9,3.474,189.8,165.4,12.45,13.32,11.67,0.4,10.78,13.59,9.08,1.212,6.944,18.64,358.7,0.662,11.71,13.2,10.18,0.598,10.95,12.54,9.46,0.595,10.62,12.41,9.39,0.656,12.83,12.84,12.8
"2018-10-01 01:30:00",28510,955,0.265,956,954,17.79,0.157,17.97,17.56,91.5,0.91,93.3,90.2,11.42,13.18,9.54,0.694,185.1,1.592,191.2,180.4,12.96,13.56,12.06,0.319,12.56,13.59,10.92,0.628,11.32,3.127,21.76,6.353,11.7,13.2,10.18,0.963,11.3,13.55,9.04,1.22,11.01,13.16,8.63,1.223,12.83,12.84,12.66
"2018-10-01 01:40:00",28511,955,0.264,956,954,17.72,0.038,17.77,17.63,91.6,0.127,91.9,91,12.18,14.06,10.23,0.916,189.6,3.983,202.8,181.1,13.05,13.88,11.67,0.33,12.49,13.41,11.11,0.463,16.6,3.513,26.03,7.531,11.36,12.44,10.18,0.536,10.78,12.26,8.81,0.503,10.51,11.65,8.63,0.583,12.83,12.84,12.79
"2018-10-01 01:50:00",28512,955,0.252,955,954,17.47,0.066,17.63,17.42,92.6,0.489,93.4,91.6,13.15,15.21,8.06,1.427,189.4,3.464,199.1,180.4,14.2,15.69,12.77,0.585,13.27,15.89,10.65,0.719,14.12,3.439,23.13,2.772,12.12,14.7,10.18,0.808,11.54,14.19,9.55,0.865,11.29,13.91,9.39,0.87,12.83,12.83,12.79
"2018-10-01 02:00:00",28513,954,0.234,955,954,17.52,0.034,17.56,17.43,92.9,0.136,93.2,92.6,13.35,15.77,8.38,1.086,187.8,2.278,195,180.4,14.53,15.61,12.46,0.551,13.66,15.25,11.57,0.646,12.09,2.28,19.5,4.783,12.31,13.95,10.93,0.673,12.04,13.5,10.56,0.486,11.73,13.16,10.14,0.551,12.82,12.83,12.79
"2018-10-01 02:10:00",28514,954,0.242,955,954,17.48,0.023,17.56,17.42,93,0.147,93.5,92.7,14.9,16.51,11.85,0.824,188.2,1.78,195.1,181.4,15.43,16.79,13.95,0.488,14.53,16.03,11.89,0.619,11.87,1.997,19.89,7.04,13.04,14.7,10.93,0.676,12.7,14.15,11.39,0.493,12.33,13.91,10.9,0.571,12.82,12.83,12.79
"2018-10-01 02:20:00",28515,954,0.294,955,953,17.42,0.005,17.49,17.42,93.5,0.114,93.8,93.2,15.15,16.97,11.24,0.697,191.8,3.33,199.3,182.2,15.16,16.71,13.4,0.649,14.32,16.07,12.26,0.659,15.64,3.68,23.62,5.667,12.98,14.7,10.93,0.742,12.69,14.7,10.79,0.725,12.4,14.67,10.9,0.791,12.81,12.82,12.78
"2018-10-01 02:30:00",28516,953,0.295,954,953,17.43,0.024,17.49,17.36,93.3,0.23,93.8,92.8,16.33,17.75,14.98,0.516,197.7,2.018,206.3,191.8,16.08,17.5,14.82,0.505,15.69,17.5,13.91,0.585,21.58,2.059,29.51,14.89,14.54,16.21,12.44,0.656,14.12,15.85,11.94,0.663,13.87,16.18,11.65,0.725,12.81,12.82,12.78
"2018-10-01 02:40:00",28517,953,0.274,954,952,17.3,0.026,17.42,17.29,93.6,0.183,93.9,93.1,16.67,17.71,15.26,0.38,197.6,1.918,204.9,192.5,16.38,17.34,15.22,0.361,16.02,17.59,14.6,0.445,21.46,2.268,28.97,13.96,14.85,16.21,13.2,0.611,14.51,16.17,12.91,0.584,14.23,16.18,12.41,0.671,12.81,12.82,12.77
"2018-10-01 02:50:00",28518,953,0.289,954,952,17.34,0.03,17.36,17.29,93.1,0.243,93.8,92.7,16.84,18.35,15.21,0.49,196.3,1.696,203.3,191.4,16.53,17.82,14.98,0.483,16.18,18.01,13.87,0.569,19.17,2.142,27.7,11.7,15.06,16.97,12.44,0.73,14.74,17.41,11.89,0.933,14.5,17.69,11.65,0.95,12.81,12.82,12.78
"2018-10-01 03:00:00",28519,953,0.275,954,952,17.29,0.02,17.36,17.29,92.7,0.117,93,92.4,17.75,18.91,15.54,0.573,195.7,2.031,204.8,191.6,17.41,18.53,15.45,0.542,16.88,18.33,14.37,0.725,18.39,2.464,27.5,12.04,15.7,17.72,13.2,0.745,15.42,17.5,13.27,0.823,15.12,17.69,13.16,0.839,12.8,12.81,12.77
"2018-10-01 03:10:00",28520,953,0.294,954,952,17.31,0.029,17.36,17.29,92.3,0.176,92.6,91.9,17.37,18.45,15.86,0.428,194.2,1.854,199.8,188.5,17.05,17.97,15.77,0.414,16.47,17.78,14.69,0.6,16.62,2.172,27.5,10.77,15.48,16.97,13.2,0.705,15.44,17.18,13.04,0.674,15.1,16.93,12.41,0.715,12.8,12.81,12.77
"2018-10-01 03:20:00",28521,953,0.286,954,952,17.34,0.038,17.43,17.29,91.9,0.226,92.6,91.4,17.31,19.55,11.98,0.907,191.3,3,203.1,178.6,17.11,19.39,13.56,0.817,16.41,19.25,13.13,1.067,13.63,2.846,24.06,6.55,15.15,18.48,12.44,1.085,14.98,18.28,12.45,1.004,14.61,17.69,12.41,1.018,12.8,12.81,12.71
"2018-10-01 03:30:00",28522,954,0.356,955,953,17.32,0.034,17.36,17.22,92,0.195,92.5,91.5,16.7,18.26,10.04,0.988,188.8,3.133,203.3,181.5,16.62,17.97,13.56,0.69,15.87,17.91,12.62,0.952,10.76,2.939,19.7,1.644,14.71,16.97,11.69,0.912,14.63,16.86,11.57,1.005,14.25,16.93,10.9,1.017,12.8,12.81,12.63
"2018-10-01 03:40:00",28523,955,0.373,956,954,17.23,0.021,17.29,17.15,92.7,0.179,93.2,92.3,13.37,17.62,7.644,2.368,183.7,3.839,192.1,168.8,14.53,17.5,10.64,1.459,13.01,16.86,7.426,2.319,6.041,8.29,358.7,0.662,12.97,16.21,9.42,1.47,12.5,16.45,7.206,1.825,12.36,16.18,9.39,1.515,12.79,12.8,12.76
"2018-10-01 03:50:00",28524,955,0.475,956,954,17.29,0.063,17.43,17.15,92.9,0.189,93.1,92.4,9.06,14.52,2.198,2.988,176.2,12.75,194.9,55.76,10.38,14.74,2.527,3.362,8.56,13.87,1.768,2.598,357.4,19.01,358.7,0.662,9.09,13.95,1.124,3.01,7.993,13.41,1.046,3.16,8.49,13.16,0,3.241,12.79,12.8,12.76
"2018-10-01 04:00:00",28525,956,0.245,957,956,17.36,0.019,17.43,17.35,92.4,0.073,92.6,92.2,2.121,4.644,0,0.858,68.74,69.55,356.5,0.76,1.899,4.418,0,0.938,2.076,5.632,0.526,0.807,221.9,63.01,358.3,1.153,1.706,4.896,0,1.173,2.422,4.632,0,1.202,2.091,4.86,0,1.368,12.79,12.8,12.75
